iter	Logloss
0	0.6782988447
1	0.6653391835
2	0.6545379681
3	0.6456071274
4	0.6392086366
5	0.6337179578
6	0.6289417114
7	0.6235115328
8	0.6197564659
9	0.6162001421
10	0.6131866828
11	0.6106800491
12	0.6058767799
13	0.6030722517
14	0.6007262298
15	0.5987340331
16	0.5962946162
17	0.5945313156
18	0.5925481286
19	0.5905710442
20	0.5880055553
21	0.5863280621
22	0.5851165696
23	0.5821401725
24	0.5806962768
25	0.5796556565
26	0.5788383896
27	0.5765924217
28	0.5755934151
29	0.5749863236
30	0.5736389949
31	0.5729898303
32	0.5720600148
33	0.5706913465
34	0.5701545008
35	0.5685268125
36	0.5680439544
37	0.567405001
38	0.5658293679
39	0.5649288138
40	0.5635967357
41	0.5626642721
42	0.5614809023
43	0.5605362548
44	0.5592009184
45	0.5578198336
46	0.5569702726
47	0.5565497682
48	0.5557191485
49	0.5550583137
50	0.5541857666
51	0.5534329309
52	0.5528444419
53	0.5517209094
54	0.5503541674
55	0.5495214629
56	0.5484222488
57	0.5473668088
58	0.5470154609
59	0.5464152726
60	0.5459351885
61	0.5453506166
62	0.5442035014
63	0.5435983418
64	0.542949252
65	0.5421652116
66	0.5415679063
67	0.5409127438
68	0.539644295
69	0.5390639108
70	0.5384299048
71	0.5379146565
72	0.5373988651
73	0.5368434924
74	0.5358917546
75	0.5346512056
76	0.5337201593
77	0.5333099961
78	0.5328787919
79	0.5315655349
80	0.531118612
81	0.5299120915
82	0.5286900374
83	0.5284596603
84	0.5280086451
85	0.5274930154
86	0.5270292524
87	0.5264893426
88	0.5259276709
89	0.5249762996
90	0.524573345
91	0.5237968648
92	0.5234019334
93	0.5228490758
94	0.5218105071
95	0.5213076588
96	0.5205638731
97	0.5196891373
98	0.5186212739
99	0.518172738
100	0.5173310772
101	0.5167493986
102	0.5160055427
103	0.5146155127
104	0.5134681171
105	0.5125826012
106	0.5116781102
107	0.5110908395
108	0.5102594162
109	0.5099925453
110	0.5095340013
111	0.5090704511
112	0.5083891595
113	0.5078904664
114	0.5069104987
115	0.5057731929
116	0.5048261895
117	0.5042299625
118	0.5032522415
119	0.5025803062
120	0.5021102298
121	0.5012349586
122	0.5007739938
123	0.5003762317
124	0.4995308316
125	0.4987776451
126	0.4984590527
127	0.4974704596
128	0.4970319224
129	0.4964251744
130	0.4957893121
131	0.495298106
132	0.4942129811
133	0.4932945999
134	0.4926977602
135	0.4920327529
136	0.4917984206
137	0.4911054079
138	0.4907161218
139	0.4899957437
140	0.4891147574
141	0.4885784379
142	0.4882517543
143	0.487619776
144	0.4868321759
145	0.4861951333
146	0.4859870141
147	0.4851006292
148	0.4843323983
149	0.4838444577
150	0.4834925679
151	0.4828772726
152	0.4823876528
153	0.4821100243
154	0.4815212798
155	0.4811660353
156	0.4806387972
157	0.4801274969
158	0.4796140124
159	0.4788377427
160	0.4783694409
161	0.4775818869
162	0.4770589339
163	0.4764675909
164	0.475840723
165	0.4752378979
166	0.4748045062
167	0.4742249376
168	0.4736354152
169	0.4730750418
170	0.4723833656
171	0.4717087305
172	0.4710899914
173	0.4707474932
174	0.470227885
175	0.4695899046
176	0.4691647585
177	0.4686600072
178	0.4679510749
179	0.4672684118
180	0.4669078904
181	0.4666345847
182	0.4662042581
183	0.4659336435
184	0.465206028
185	0.4645946047
186	0.4642542752
187	0.4640682802
188	0.4634345289
189	0.4629213947
190	0.4623822567
191	0.4620225087
192	0.4615223618
193	0.4610792117
194	0.4607011221
195	0.4597838634
196	0.4590946124
197	0.4584474206
198	0.4579795092
199	0.4569924205
200	0.4566149995
201	0.4563733097
202	0.4560864209
203	0.4556836118
204	0.4550901618
205	0.4547755405
206	0.4543055315
207	0.4536322211
208	0.4532760726
209	0.4528388322
210	0.4523880441
211	0.4518120678
212	0.4508700902
213	0.4504751232
214	0.4499237544
215	0.4494451829
216	0.448675366
217	0.4482708788
218	0.447840232
219	0.4473589437
220	0.4467984523
221	0.4460721546
222	0.4455604059
223	0.4449102266
224	0.4445089773
225	0.4438122426
226	0.443344153
227	0.4428800199
228	0.4425357705
229	0.4421749261
230	0.441833478
231	0.4415227698
232	0.441171063
233	0.4406656278
234	0.4400752272
235	0.4395828146
236	0.4393609412
237	0.4387315379
238	0.438094537
239	0.4376864404
240	0.4372375444
241	0.4369258253
242	0.4364909022
243	0.4360580063
244	0.4358069351
