iter	Passed	Remaining
0	4	3344
1	8	3023
2	12	2803
3	15	2721
4	19	2674
5	22	2612
6	26	2622
7	30	2624
8	33	2595
9	37	2564
10	40	2532
11	43	2505
12	47	2528
13	51	2514
14	54	2496
15	57	2470
16	61	2462
17	64	2446
18	72	2616
19	76	2606
20	80	2588
21	83	2576
22	86	2558
23	90	2554
24	94	2539
25	97	2525
26	100	2512
27	104	2508
28	107	2490
29	112	2504
30	117	2531
31	120	2524
32	124	2518
33	128	2517
34	131	2504
35	135	2500
36	139	2498
37	143	2501
38	147	2506
39	151	2505
40	156	2512
41	160	2506
42	163	2499
43	167	2493
44	170	2487
45	174	2483
46	178	2478
47	181	2471
48	185	2465
49	189	2460
50	193	2457
51	197	2456
52	201	2455
53	205	2454
54	209	2453
55	213	2450
56	217	2449
57	221	2448
58	224	2443
59	229	2443
60	233	2440
61	237	2440
62	241	2440
63	245	2438
64	249	2438
65	253	2437
66	258	2439
67	262	2438
68	266	2438
69	270	2438
70	275	2437
71	279	2440
72	284	2439
73	288	2438
74	292	2438
75	296	2437
76	301	2437
77	305	2436
78	309	2433
79	313	2432
80	318	2430
81	322	2427
82	326	2427
83	330	2423
84	334	2420
85	338	2416
86	342	2413
87	346	2412
88	351	2409
89	355	2409
90	361	2420
91	366	2419
92	370	2418
93	374	2416
94	378	2413
95	382	2408
96	386	2405
97	391	2403
98	395	2400
99	399	2397
100	403	2393
101	407	2389
102	411	2387
103	417	2390
104	421	2390
105	426	2388
106	430	2387
107	435	2384
108	439	2381
109	443	2378
110	447	2375
111	453	2381
112	458	2380
113	464	2388
114	469	2387
115	473	2384
116	477	2381
117	482	2377
118	486	2374
119	490	2371
120	494	2367
121	499	2365
122	503	2361
123	507	2358
124	511	2354
125	516	2351
126	520	2346
127	524	2342
128	528	2339
129	532	2336
130	536	2332
131	541	2328
132	545	2326
133	551	2331
134	556	2327
135	560	2325
136	564	2320
137	569	2317
138	573	2312
139	577	2309
140	581	2304
141	585	2301
142	589	2296
143	593	2293
144	598	2290
145	603	2288
146	607	2285
147	611	2281
148	615	2277
149	620	2274
150	624	2270
151	628	2266
152	635	2272
153	640	2270
154	644	2266
155	648	2261
156	652	2255
157	656	2250
158	659	2245
159	664	2241
160	668	2236
161	672	2232
162	676	2228
163	680	2224
164	684	2220
165	688	2216
166	692	2211
167	696	2206
168	701	2202
169	705	2198
170	709	2194
171	713	2190
172	717	2186
173	722	2184
174	726	2180
175	731	2176
176	735	2173
177	739	2169
178	744	2165
179	748	2162
180	752	2157
181	756	2152
182	760	2147
183	764	2143
184	768	2139
185	774	2139
186	779	2138
187	783	2134
188	788	2131
189	792	2126
190	796	2122
191	800	2117
192	804	2113
193	808	2109
194	813	2105
195	817	2102
196	821	2098
197	825	2094
198	829	2089
199	834	2085
200	838	2082
201	842	2077
202	846	2073
203	851	2069
204	855	2065
205	859	2060
206	863	2055
207	867	2051
208	871	2047
209	875	2043
210	879	2039
211	883	2034
212	888	2032
213	893	2028
214	897	2024
215	904	2026
216	909	2023
217	913	2019
218	917	2016
219	922	2012
220	926	2009
221	931	2005
222	935	2001
223	939	1997
224	944	1992
225	948	1989
226	952	1985
227	956	1980
228	960	1976
229	964	1971
230	969	1967
231	973	1963
232	977	1959
233	982	1955
234	986	1952
235	990	1948
236	994	1943
237	999	1939
238	1003	1935
239	1007	1931
240	1011	1926
241	1015	1922
242	1019	1918
243	1024	1913
244	1027	1908
245	1031	1904
246	1036	1900
247	1040	1895
248	1044	1891
249	1048	1887
250	1053	1883
251	1057	1879
252	1061	1874
253	1065	1870
254	1069	1866
255	1075	1865
256	1080	1862
257	1085	1859
258	1089	1855
259	1093	1850
260	1097	1846
261	1102	1842
262	1106	1837
263	1110	1833
264	1114	1829
265	1118	1825
266	1122	1821
267	1127	1817
268	1131	1812
269	1135	1808
270	1139	1804
271	1143	1799
272	1147	1795
273	1152	1791
274	1156	1786
275	1160	1783
276	1165	1779
277	1169	1775
278	1173	1771
279	1178	1767
280	1182	1763
281	1186	1759
282	1190	1754
283	1195	1750
284	1199	1746
285	1203	1742
286	1207	1737
287	1211	1733
288	1215	1728
289	1219	1724
290	1223	1719
291	1227	1715
292	1231	1710
293	1235	1706
294	1240	1702
295	1244	1698
296	1248	1693
297	1252	1689
298	1256	1685
299	1261	1681
300	1265	1677
301	1269	1673
302	1274	1669
303	1278	1665
304	1282	1661
305	1287	1657
306	1291	1653
307	1295	1649
308	1299	1644
309	1304	1640
310	1307	1635
311	1312	1631
312	1316	1627
313	1320	1622
314	1324	1618
315	1328	1614
316	1332	1610
317	1336	1605
318	1340	1601
319	1344	1597
320	1348	1592
321	1352	1587
322	1356	1583
323	1360	1579
324	1364	1574
325	1368	1570
326	1373	1566
327	1379	1564
328	1384	1560
329	1388	1556
330	1393	1552
331	1397	1549
332	1403	1546
333	1407	1542
334	1411	1538
335	1416	1534
336	1420	1530
337	1425	1526
338	1429	1522
339	1434	1518
340	1439	1515
341	1444	1511
342	1448	1507
343	1452	1503
344	1456	1499
345	1460	1494
346	1464	1490
347	1468	1485
348	1472	1481
349	1477	1477
350	1481	1473
351	1485	1468
352	1490	1464
353	1494	1460
354	1498	1456
355	1502	1451
356	1507	1448
357	1511	1444
358	1516	1440
359	1520	1436
360	1524	1431
361	1529	1427
362	1533	1423
363	1537	1419
364	1542	1415
365	1546	1411
366	1550	1407
367	1555	1402
368	1559	1398
369	1563	1394
370	1567	1390
371	1571	1386
372	1576	1381
373	1580	1377
374	1584	1373
375	1588	1368
376	1592	1364
377	1597	1360
378	1601	1356
379	1606	1352
380	1610	1348
381	1614	1344
382	1618	1339
383	1622	1335
384	1626	1330
385	1630	1326
386	1634	1322
387	1638	1317
388	1642	1313
389	1646	1308
390	1650	1304
391	1654	1299
392	1658	1295
393	1662	1291
394	1666	1287
395	1671	1282
396	1675	1278
397	1679	1274
398	1683	1270
399	1688	1266
400	1692	1261
401	1696	1257
402	1701	1253
403	1705	1249
404	1710	1245
405	1714	1241
406	1718	1237
407	1722	1233
408	1726	1228
409	1730	1224
410	1734	1219
411	1738	1215
412	1742	1210
413	1746	1206
414	1750	1202
415	1754	1197
416	1758	1193
417	1762	1189
418	1766	1184
419	1771	1180
420	1775	1176
421	1779	1172
422	1783	1167
423	1787	1163
424	1791	1158
425	1795	1154
426	1799	1150
427	1803	1145
428	1807	1141
429	1811	1137
430	1815	1133
431	1819	1129
432	1824	1124
433	1828	1120
434	1832	1116
435	1836	1112
436	1840	1107
437	1845	1103
438	1849	1099
439	1853	1095
440	1858	1091
441	1862	1087
442	1866	1082
443	1871	1078
444	1875	1074
445	1880	1070
446	1884	1066
447	1889	1062
448	1894	1059
449	1898	1054
450	1903	1050
451	1907	1046
452	1911	1042
453	1915	1038
454	1920	1033
455	1924	1029
456	1929	1025
457	1933	1021
458	1938	1017
459	1943	1013
460	1947	1009
461	1952	1005
462	1956	1001
463	1960	997
464	1964	992
465	1968	988
466	1972	984
467	1977	980
468	1981	975
469	1985	971
470	1989	967
471	1993	962
472	1997	958
473	2001	954
474	2005	950
475	2010	946
476	2014	941
477	2019	937
478	2023	933
479	2028	929
480	2032	925
481	2036	921
482	2040	916
483	2044	912
484	2048	908
485	2052	903
486	2057	899
487	2061	895
488	2066	891
489	2070	887
490	2074	883
491	2079	879
492	2083	874
493	2088	870
494	2092	866
495	2096	862
496	2100	857
497	2104	853
498	2108	849
499	2112	845
500	2116	840
501	2121	836
502	2125	832
503	2129	828
504	2133	823
505	2137	819
506	2141	815
507	2146	811
508	2150	806
509	2154	802
510	2159	798
511	2163	794
512	2167	790
513	2171	785
514	2175	781
515	2179	777
516	2183	773
517	2187	768
518	2192	764
519	2196	760
520	2200	756
521	2204	751
522	2208	747
523	2212	743
524	2216	738
525	2220	734
526	2224	730
527	2228	725
528	2230	720
529	2234	716
530	2238	712
531	2243	708
532	2247	704
533	2251	699
534	2255	695
535	2259	691
536	2263	687
537	2268	682
538	2272	678
539	2276	674
540	2280	670
541	2283	665
542	2288	661
543	2292	657
544	2296	653
545	2300	648
546	2304	644
547	2308	640
548	2312	635
549	2316	631
550	2320	627
551	2324	623
552	2330	619
553	2334	615
554	2338	610
555	2342	606
556	2346	602
557	2350	598
558	2354	593
559	2358	589
560	2362	585
561	2366	581
562	2370	576
563	2375	572
564	2379	568
565	2383	564
566	2388	560
567	2392	555
568	2396	551
569	2400	547
570	2404	543
571	2408	538
572	2412	534
573	2417	530
574	2421	526
575	2427	522
576	2431	518
577	2436	514
578	2440	510
579	2445	505
580	2449	501
581	2453	497
582	2457	493
583	2461	488
584	2465	484
585	2469	480
586	2473	476
587	2477	471
588	2481	467
589	2485	463
590	2489	459
591	2493	454
592	2497	450
593	2501	446
594	2506	442
595	2510	438
596	2514	433
597	2518	429
598	2522	425
599	2526	421
600	2531	416
601	2535	412
602	2539	408
603	2543	404
604	2547	400
605	2551	395
606	2555	391
607	2560	387
608	2565	383
609	2570	379
610	2574	375
611	2578	370
612	2583	366
613	2587	362
614	2592	358
615	2597	354
616	2601	349
617	2606	345
618	2612	341
619	2617	337
620	2622	333
621	2627	329
622	2631	325
623	2636	321
624	2641	316
625	2645	312
626	2650	308
627	2654	304
628	2658	300
629	2662	295
630	2666	291
631	2670	287
632	2674	283
633	2678	278
634	2682	274
635	2686	270
636	2690	266
637	2694	261
638	2698	257
639	2703	253
640	2707	249
641	2711	244
642	2715	240
643	2720	236
644	2724	232
645	2728	228
646	2732	223
647	2736	219
648	2740	215
649	2744	211
650	2749	206
651	2753	202
652	2758	198
653	2762	194
654	2766	190
655	2770	185
656	2775	181
657	2780	177
658	2785	173
