iter	F1	Logloss
0	0.6372834474	0.6783196265
1	0.6377481742	0.6653757865
2	0.6407916438	0.6545844252
3	0.6411827286	0.6456566689
4	0.6427551879	0.6392581721
5	0.6421345844	0.6337644583
6	0.6417100535	0.6289835766
7	0.6418894178	0.6235497847
8	0.6447334677	0.6197906256
9	0.6442731278	0.6162315401
10	0.6443446906	0.6132158613
11	0.6453921641	0.6107079992
12	0.6485157734	0.6059038338
13	0.6487250019	0.6030986642
14	0.6514860269	0.6007523414
15	0.6511507819	0.5987598911
16	0.6520192664	0.5963200396
17	0.6529038953	0.5945574245
18	0.6559768923	0.5925743134
19	0.6562801395	0.5905974739
20	0.6601985056	0.5880318234
21	0.6595975059	0.5863546604
22	0.6602152958	0.5851434287
23	0.6614911491	0.5821674257
24	0.6644189706	0.5807237586
25	0.6659919787	0.5796836341
26	0.6672401541	0.5788665889
27	0.6690196373	0.5766207299
28	0.6693954187	0.5756221437
29	0.6685961285	0.5750153731
30	0.6701888489	0.5736682395
31	0.670641617	0.5730189482
32	0.6724086279	0.5720890855
33	0.6733096085	0.5707204809
34	0.6730877338	0.5701836701
35	0.6761176118	0.5685555707
36	0.6764408114	0.5680728407
37	0.6767881242	0.5674337649
38	0.6795218764	0.5658583701
39	0.6809661545	0.5649578627
40	0.6831538259	0.563625892
41	0.682739973	0.5626933493
42	0.6847381265	0.5615097874
43	0.6851997749	0.5605653016
44	0.6882961187	0.5592299095
45	0.6878760529	0.5578491106
46	0.6893167516	0.5569996297
47	0.6887739808	0.5565792305
48	0.6907428914	0.5557483199
49	0.691424511	0.5550876861
50	0.6932795096	0.5542150634
51	0.6950941988	0.5534624356
52	0.6957365064	0.5528741693
53	0.696878147	0.551750729
54	0.6985892364	0.550383818
55	0.6981033453	0.5495510466
56	0.699381474	0.5484517834
57	0.7022622414	0.5473965144
58	0.7023809524	0.5470451214
59	0.7033016062	0.5464449635
60	0.7046393095	0.5459648637
61	0.7051167633	0.5453803038
62	0.7057030262	0.5442333836
63	0.7066518023	0.543628154
64	0.7060222164	0.5429791565
65	0.7071052045	0.5421950786
66	0.7078509944	0.5415977867
67	0.7081059003	0.5409425396
68	0.7082142459	0.5396740035
69	0.7095407936	0.5390936061
70	0.7092335726	0.538459652
71	0.7094878566	0.5379442575
72	0.7109075336	0.5374284907
73	0.7116778823	0.5368732559
74	0.7130946177	0.5359215776
75	0.7135509839	0.5346809458
76	0.7137482773	0.5337498499
77	0.7141154562	0.5333398819
78	0.7145946752	0.5329087579
79	0.7166970973	0.5315958233
80	0.7179257935	0.5311489374
81	0.7167634361	0.5299426192
82	0.7201517518	0.5287206732
83	0.7197738852	0.5284902961
84	0.7209700216	0.5280392814
85	0.7210980509	0.5275236349
86	0.7215590018	0.5270599623
87	0.7223254777	0.5265200094
88	0.7225364692	0.5259580256
89	0.7228960488	0.5250069451
90	0.7229086038	0.5246040121
91	0.7238130702	0.5238274338
92	0.7237740071	0.5234325085
93	0.7239103687	0.5228795987
94	0.7241906039	0.5218408599
95	0.7256254428	0.5213381415
96	0.7256531624	0.5205940483
97	0.7262374395	0.5197191409
98	0.7271711604	0.5186514492
99	0.7272862842	0.5182028207
100	0.7291059825	0.5173610613
101	0.7302700283	0.5167794123
102	0.7303173834	0.5160355007
103	0.7320022392	0.5146454462
104	0.7341989404	0.5134981951
105	0.7344717023	0.5126127075
106	0.7350268176	0.5117080585
107	0.7361049024	0.5111206638
108	0.7370460048	0.5102892961
109	0.7371794872	0.5100221745
110	0.7375363291	0.5095635288
111	0.7380676941	0.5091002285
112	0.7378242209	0.5084188193
113	0.7394468705	0.5079201754
114	0.7402092676	0.5069402766
115	0.74142579	0.5058030824
116	0.7426239329	0.5048562313
117	0.7438270448	0.5042600481
118	0.7432599648	0.5032822536
119	0.7430029264	0.5026103602
120	0.7429664641	0.5021403574
121	0.7435128244	0.5012652483
122	0.7435022316	0.5008042022
123	0.7436541562	0.5004064274
124	0.7434657067	0.499560924
125	0.7444477791	0.4988075821
126	0.7451201201	0.4984889921
127	0.7445786749	0.4975004396
128	0.7450244086	0.4970618066
129	0.7464366092	0.4964549781
130	0.7475058135	0.4958191807
131	0.7477778195	0.4953279476
132	0.7496722478	0.4942429478
133	0.750637277	0.4933246131
134	0.7509848798	0.4927275593
135	0.7511719482	0.4920624517
136	0.7510969436	0.4918281531
137	0.751901675	0.491135053
138	0.7518830804	0.4907455522
139	0.7524188105	0.490025238
140	0.7529887944	0.4891440992
141	0.7533733133	0.4886077311
142	0.7540836206	0.4882809976
143	0.7549023284	0.4876490151
144	0.7556605188	0.4868615439
145	0.7576835249	0.4862244696
146	0.7572284644	0.4860163319
147	0.7584864703	0.4851300143
148	0.7594111698	0.4843616038
149	0.7605001123	0.4838734266
150	0.7605886979	0.4835214246
151	0.7609631877	0.4829065127
152	0.7610267941	0.4824170124
153	0.7613406313	0.4821394288
154	0.7616442463	0.481550675
155	0.7616370587	0.4811954153
156	0.7617940449	0.4806681188
157	0.762047628	0.4801567821
158	0.7628123359	0.4796432427
159	0.7615040757	0.4788669307
160	0.7627163182	0.4783985339
161	0.7635885886	0.4776109563
162	0.7624516759	0.4770879979
163	0.7641770919	0.4764966126
164	0.7647610122	0.475869661
165	0.7655681776	0.4752668452
166	0.7662590953	0.4748334469
167	0.7664315726	0.4742540208
168	0.7673362118	0.4736648047
169	0.7677154994	0.4731043464
170	0.7686012463	0.4724129713
171	0.7688438438	0.471738516
172	0.7698201074	0.4711196192
173	0.770496113	0.4707770345
174	0.7709702866	0.4702574383
175	0.7715552883	0.4696195386
176	0.7718176347	0.4691941006
177	0.7720433343	0.4686892608
178	0.7724091217	0.4679803441
179	0.7728897753	0.4672974609
180	0.7728213815	0.4669370854
181	0.7731687119	0.4666638452
182	0.7729719556	0.4662337183
183	0.7732921594	0.4659631339
184	0.774057633	0.4652353674
185	0.775112782	0.4646238503
186	0.7749332732	0.4642834862
187	0.7749793249	0.464097613
188	0.7758140934	0.4634636457
189	0.7759981954	0.4629505322
190	0.7767873933	0.4624113502
191	0.777351392	0.4620516619
192	0.7786087414	0.461551498
193	0.7792276163	0.4611084202
194	0.7790772008	0.4607304764
195	0.7801082544	0.4598132051
196	0.7807683633	0.4591238444
197	0.7812828601	0.4584768304
198	0.7818345729	0.4580087905
199	0.7823377013	0.4570215625
200	0.7823573574	0.4566441736
201	0.7830624273	0.4564024968
202	0.7836112363	0.4561156379
203	0.7835818093	0.4557128971
204	0.7843196155	0.4551194415
205	0.7842518502	0.4548046885
206	0.7856821252	0.4543347818
207	0.7858590408	0.4536616297
208	0.7856123752	0.4533054935
209	0.7861080899	0.4528683071
