iter	Passed	Remaining
0	3	2777
1	7	2590
2	10	2474
3	13	2406
4	16	2325
5	19	2276
6	22	2253
7	26	2255
8	29	2232
9	31	2206
10	35	2193
11	38	2187
12	41	2195
13	44	2184
14	47	2181
15	50	2167
16	53	2161
17	56	2149
18	59	2147
19	63	2154
20	67	2168
21	70	2181
22	74	2187
23	78	2201
24	81	2194
25	84	2184
26	87	2174
27	90	2180
28	93	2168
29	96	2155
30	99	2151
31	102	2139
32	105	2135
33	108	2129
34	111	2119
35	114	2113
36	117	2107
37	120	2103
38	123	2100
39	127	2097
40	130	2095
41	133	2096
42	137	2098
43	140	2096
44	144	2098
45	147	2096
46	150	2092
47	153	2089
48	157	2086
49	160	2081
50	163	2079
51	166	2079
52	170	2077
53	173	2076
54	176	2073
55	180	2070
56	183	2070
57	186	2068
58	189	2062
59	193	2058
60	196	2054
61	199	2049
62	202	2048
63	205	2043
64	208	2040
65	212	2039
66	216	2047
67	220	2045
68	223	2042
69	226	2037
70	229	2033
71	232	2029
72	235	2023
73	239	2022
74	243	2026
75	246	2024
76	249	2020
77	252	2015
78	255	2011
79	259	2008
80	262	2004
81	265	2002
82	269	2001
83	272	1997
84	275	1993
85	278	1988
86	281	1984
87	284	1979
88	287	1974
89	290	1970
90	293	1964
91	296	1960
92	299	1957
93	303	1953
94	306	1950
95	310	1952
96	313	1951
97	317	1950
98	321	1948
99	324	1945
100	328	1947
101	331	1945
102	334	1941
103	338	1939
104	341	1937
105	345	1933
106	348	1930
107	351	1926
108	354	1922
109	357	1918
110	360	1913
111	363	1908
112	366	1905
113	370	1906
114	374	1904
115	378	1903
116	381	1898
117	385	1899
118	388	1897
119	391	1893
120	394	1888
121	398	1885
122	401	1881
123	404	1877
124	407	1875
125	410	1871
126	413	1866
127	416	1862
128	420	1859
129	423	1856
130	426	1852
131	429	1848
132	433	1847
133	436	1844
134	439	1840
135	444	1841
136	447	1837
137	450	1834
138	453	1831
139	458	1834
140	463	1838
141	467	1836
142	470	1832
143	473	1828
144	476	1825
145	480	1821
146	483	1817
147	486	1813
148	489	1809
149	492	1804
150	495	1799
151	498	1795
152	501	1791
153	504	1787
154	507	1783
155	510	1778
156	513	1774
157	516	1771
158	519	1767
159	522	1763
160	525	1759
161	528	1756
162	532	1754
163	535	1751
164	539	1748
165	542	1743
166	545	1741
167	548	1736
168	551	1733
169	554	1729
170	558	1727
171	561	1723
172	564	1719
